Transaction ID,Transaction
T1,"Notebook,Pen,Pencil,Eraser"
T2,"Notebook,Pen,Pencil"
T3,"Notebook,Pen,Pencil,Eraser,Sharpener"
T4,"Eraser,Sharpener,Pen refill"
T5,"Eraser,Pen refill,Diary"
T6,"Notebook,Eraser,Sharpener"
T7,"Notebook,Sharpener,Pen refill"
T8,"Pen,Pencil,Eraser"
T9,"Pencil,Eraser,Sharpener,Pen refill"
T10,"Pen refill,Diary,File"
T11,"Notebook,Pen,Pencil,Eraser"
T12,"Notebook,Pen,Pencil,Push pins"
T13,"Notebook,Pen,Pencil,Diary,Push pins"
T14,"Pencil,Eraser,Sharpener"
T15,"Pencil,Eraser"
T16,"Notebook,Pen,Pencil,Eraser"
T17,"Notebook,Pen,Pencil,Eraser"
T18,"Sharpener,Pen refill,Diary"
T19,"Eraser,Sharpener"
T20,"Notebook,Pen,Pencil"
