Transaction ID,Transaction
T1,"Desktop,Printer,Flash Drive,Microsoft Office,Speakers,Anti-Virus"
T2,"Laptop,Flash Drive,Microsoft Office,Laptop Case,Anti-Virus"
T3,"Laptop,Printer,Flash Drive,Microsoft Office,Anti-Virus,Laptop Case,External Hard-Drive"
T4,"Laptop,Printer,Flash Drive,Anti-Virus,External Hard-Drive,Laptop Case"
T5,"Laptop,Flash Drive,Laptop Case,Anti-Virus"
T6,"Laptop,Printer,Flash Drive,Microsoft Office"
T7,"Desktop,Printer,Flash Drive,Microsoft Office"
T8,"Laptop,External Hard-Drive,Anti-Virus"
T9,"Desktop,Printer,Flash Drive,Microsoft Office,Laptop Case,Anti-Virus,Speakers,External Hard-Drive"
T10,"Digital Camera,Laptop,Desktop,Printer,Flash Drive,Microsoft Office,Laptop Case,Anti-Virus,External Hard-Drive,Speakers"
T11,"Laptop,Desktop,Laptop Case,External Hard-Drive,Speakers,Anti-Virus"
T12,"Digital Camera,Laptop,Laptop Case,External Hard-Drive,Anti-Virus,Speakers"
T13,"Digital Camera,Speakers"
T14,"Digital Camera,Desktop,Printer,Flash Drive,Microsoft Office"
T15,"Printer,Flash Drive,Microsoft Office,Anti-Virus,Laptop Case,Speakers,External Hard-Drive"
T16,"Digital Camera,Flash Drive,Microsoft Office,Anti-Virus,Laptop Case,External Hard-Drive,Speakers"
T17,"Digital Camera,Laptop,Laptop Case"
T18,"Digital Camera,Laptop Case,Speakers"
T19,"Digital Camera,Laptop,Printer,Flash Drive,Microsoft Office,Speakers,Laptop Case,Anti-Virus"
T20,"Digital Camera,Laptop,Speakers,Anti-Virus,Laptop Case"
