Transaction ID,Transaction
T1,"Decorative Pillows,Quilts,Embroidered Bedspread"
T2,"Embroidered Bedspread,Shams,Kids Bedding,Bedding Collections,Bed Skirts,Bedspreads,Sheets"
T3,"Decorative Pillows,Quilts,Embroidered Bedspread,Shams,Kids Bedding,Bedding Collections"
T4,"Kids Bedding,Bedding Collections,Sheets,Bedspreads,Bed Skirts"
T5,"Decorative Pillows,Kids Bedding,Bedding Collections,Sheets,Bed Skirts,Bedspreads"
T6,"Bedding Collections,Bedspreads,Bed Skirts,Sheets,Shams,Kids Bedding"
T7,"Decorative Pillows,Quilts"
T8,"Decorative Pillows,Quilts,Embroidered Bedspread"
T9,"Bedspreads,Bed Skirts,Shams,Kids Bedding,Sheets"
T10,"Quilts,Embroidered Bedspread,Bedding Collections"
T11,"Bedding Collections,Bedspreads,Bed Skirts,Kids Bedding,Shams,Sheets"
T12,"Decorative Pillows,Quilts"
T13,"Embroidered Bedspread,Shams"
T14,"Sheets,Shams,Bed Skirts,Kids Bedding"
T15,"Decorative Pillows,Quilts"
T16,"Decorative Pillows,Kids Bedding,Bed Skirts,Shams"
T17,"Decorative Pillows,Shams,Bed Skirts"
T18,"Quilts,Sheets,Kids Bedding"
T19,"Shams,Bed Skirts,Kids Bedding,Sheets"
T20,"Decorative Pillows,Bedspreads,Shams,Sheets,Bed Skirts,Kids Bedding"
